year;state;month;number
2015;Pernambuco;11;315
2016;Pernambuco;11;191
2017;Pernambuco;11;66
1998;Pernambuco;12;59
1999;Pernambuco;12;16
2000;Pernambuco;12;22
2001;Pernambuco;12;62
2002;Pernambuco;12;259
2003;Pernambuco;12;229
2004;Pernambuco;12;373
2005;Pernambuco;12;191
2006;Pernambuco;12;207
2007;Pernambuco;12;200
2008;Pernambuco;12;203
2009;Pernambuco;12;351
2010;Pernambuco;12;117
2011;Pernambuco;12;364
2012;Pernambuco;12;108
2013;Pernambuco;12;141
2014;Pernambuco;12;101
2015;Pernambuco;12;176
2016;Pernambuco;12;161
1998;Piau;1;0
1999;Piau;1;21
2000;Piau;1;5
2001;Piau;1;29
2002;Piau;1;33
2003;Piau;1;86
2004;Piau;1;42
2005;Piau;1;94
2006;Piau;1;133
2007;Piau;1;123
2008;Piau;1;61
2009;Piau;1;79
2010;Piau;1;99
2011;Piau;1;39
2012;Piau;1;80
2013;Piau;1;72
2014;Piau;1;79
2015;Piau;1;92
2016;Piau;1;94
2017;Piau;1;85
1998;Piau;2;0
1999;Piau;2;22
2000;Piau;2;12
2001;Piau;2;0
2002;Piau;2;160
2003;Piau;2;3
2004;Piau;2;20
2005;Piau;2;26
2006;Piau;2;23
2007;Piau;2;11
2008;Piau;2;21
2009;Piau;2;19
2010;Piau;2;54
2011;Piau;2;11
2012;Piau;2;31
2013;Piau;2;68
2014;Piau;2;14
2015;Piau;2;38
2016;Piau;2;97
2017;Piau;2;24
1998;Piau;3;0
1999;Piau;3;4
2000;Piau;3;14
2001;Piau;3;2
2002;Piau;3;63
2003;Piau;3;15
2004;Piau;3;27
2005;Piau;3;13
2006;Piau;3;18
2007;Piau;3;31
2008;Piau;3;4
2009;Piau;3;17
2010;Piau;3;47
2011;Piau;3;15
2012;Piau;3;71
2013;Piau;3;14
2014;Piau;3;88
2015;Piau;3;35
2016;Piau;3;53
2017;Piau;3;25
1998;Piau;4;0
1999;Piau;4;10
2000;Piau;4;15
2001;Piau;4;1
2002;Piau;4;87
2003;Piau;4;22
2004;Piau;4;10
2005;Piau;4;3
2006;Piau;4;1
2007;Piau;4;9
2008;Piau;4;7
2009;Piau;4;8
2010;Piau;4;56
2011;Piau;4;16
2012;Piau;4;119
2013;Piau;4;34
2014;Piau;4;63
2015;Piau;4;50
2016;Piau;4;35
2017;Piau;4;25
1998;Piau;5;0
1999;Piau;5;8
2000;Piau;5;25
2001;Piau;5;36
2002;Piau;5;84
2003;Piau;5;13
2004;Piau;5;80
2005;Piau;5;22
2006;Piau;5;0
2007;Piau;5;52
2008;Piau;5;12
2009;Piau;5;12
2010;Piau;5;231
2011;Piau;5;77
2012;Piau;5;334
2013;Piau;5;40
2014;Piau;5;138
2015;Piau;5;66
2016;Piau;5;60
2017;Piau;5;36
1998;Piau;6;46
1999;Piau;6;47
2000;Piau;6;18
2001;Piau;6;87
2002;Piau;6;161
2003;Piau;6;88
2004;Piau;6;239
2005;Piau;6;171
2006;Piau;6;40
2007;Piau;6;303
2008;Piau;6;33
2009;Piau;6;56
2010;Piau;6;208
2011;Piau;6;462
2012;Piau;6;834
2013;Piau;6;263
2014;Piau;6;373
2015;Piau;6;283
2016;Piau;6;153
2017;Piau;6;193
1998;Piau;7;189
1999;Piau;7;123
2000;Piau;7;75
2001;Piau;7;337
2002;Piau;7;534
2003;Piau;7;407
2004;Piau;7;564
2005;Piau;7;445
2006;Piau;7;150
2007;Piau;7;919
2008;Piau;7;97
2009;Piau;7;302
2010;Piau;7;1.696
2011;Piau;7;864
2012;Piau;7;1.755
2013;Piau;7;361
2014;Piau;7;1.177
2015;Piau;7;690
2016;Piau;7;754
2017;Piau;7;643
1998;Piau;8;711
1999;Piau;8;499
2000;Piau;8;415
2001;Piau;8;1.133
2002;Piau;8;2.28
2003;Piau;8;864
2004;Piau;8;1.002
2005;Piau;8;943
2006;Piau;8;911
2007;Piau;8;3.551
2008;Piau;8;290
2009;Piau;8;790
2010;Piau;8;4.035
2011;Piau;8;1.958
2012;Piau;8;3.614
2013;Piau;8;1.015
2014;Piau;8;2.265
2015;Piau;8;2.057
2016;Piau;8;1.647
2017;Piau;8;1.572
1998;Piau;9;1.991
1999;Piau;9;872
2000;Piau;9;1.099
2001;Piau;9;2.401
2002;Piau;9;2.475
2003;Piau;9;3.399
2004;Piau;9;2.662
2005;Piau;9;3.136
2006;Piau;9;1.618
2007;Piau;9;4.078
2008;Piau;9;1.472
2009;Piau;9;1.709
2010;Piau;9;5.392
2011;Piau;9;4.402
2012;Piau;9;4.479
2013;Piau;9;2.311
2014;Piau;9;2.536
2015;Piau;9;5.828
2016;Piau;9;1.394
2017;Piau;9;3.422
1998;Piau;10;2.586
1999;Piau;10;1.438
2000;Piau;10;2.558
2001;Piau;10;3.742
2002;Piau;10;2.757
2003;Piau;10;2.332
2004;Piau;10;2.144
2005;Piau;10;3.263
2006;Piau;10;1.443
2007;Piau;10;2.331
2008;Piau;10;1.83
2009;Piau;10;913
2010;Piau;10;3.863
2011;Piau;10;1.484
2012;Piau;10;2.506
2013;Piau;10;1.269
2014;Piau;10;1.788
2015;Piau;10;4.068
2016;Piau;10;2.598
2017;Piau;10;3.004
1998;Piau;11;424
1999;Piau;11;334
2000;Piau;11;450
2001;Piau;11;1.484
2002;Piau;11;1.174
2003;Piau;11;1.248
2004;Piau;11;1.798
2005;Piau;11;1.599
2006;Piau;11;740
2007;Piau;11;939
2008;Piau;11;594
2009;Piau;11;1.336
2010;Piau;11;1.417
2011;Piau;11;825
2012;Piau;11;447
2013;Piau;11;640
2014;Piau;11;717
2015;Piau;11;897
2016;Piau;11;1.126
2017;Piau;11;449
1998;Piau;12;119
1999;Piau;12;74
2000;Piau;12;79
2001;Piau;12;230
2002;Piau;12;373
2003;Piau;12;459
2004;Piau;12;788
2005;Piau;12;486
2006;Piau;12;339
2007;Piau;12;317
2008;Piau;12;329
2009;Piau;12;570
2010;Piau;12;357
2011;Piau;12;362
2012;Piau;12;334
2013;Piau;12;468
2014;Piau;12;346
2015;Piau;12;626
2016;Piau;12;374
1998;Rio;1;0
1999;Rio;1;0
2000;Rio;1;0
2001;Rio;1;0
2002;Rio;1;0
2003;Rio;1;0
2004;Rio;1;1
2005;Rio;1;5
2006;Rio;1;12
2007;Rio;1;0
2008;Rio;1;1
2009;Rio;1;3
2010;Rio;1;13
2011;Rio;1;10
2012;Rio;1;12
2013;Rio;1;9
2014;Rio;1;35
2015;Rio;1;97
2016;Rio;1;9
2017;Rio;1;15
1998;Rio;2;0
1999;Rio;2;0
2000;Rio;2;1
2001;Rio;2;3
2002;Rio;2;1
2003;Rio;2;10
2004;Rio;2;8
2005;Rio;2;4
2006;Rio;2;7
2007;Rio;2;15
2008;Rio;2;2
2009;Rio;2;5
2010;Rio;2;73
2011;Rio;2;36
2012;Rio;2;11
2013;Rio;2;12
2014;Rio;2;116
2015;Rio;2;36
2016;Rio;2;16
2017;Rio;2;34
1998;Rio;3;0
1999;Rio;3;0
2000;Rio;3;0
2001;Rio;3;0
2002;Rio;3;1
2003;Rio;3;23
2004;Rio;3;4
2005;Rio;3;7
2006;Rio;3;8
2007;Rio;3;27
2008;Rio;3;2
2009;Rio;3;5
2010;Rio;3;10
2011;Rio;3;7
2012;Rio;3;20
2013;Rio;3;9
2014;Rio;3;38
2015;Rio;3;23
2016;Rio;3;16
2017;Rio;3;10
1998;Rio;4;0
1999;Rio;4;1
2000;Rio;4;2
2001;Rio;4;2
2002;Rio;4;8
2003;Rio;4;11
2004;Rio;4;3
2005;Rio;4;1
2006;Rio;4;8
2007;Rio;4;9
2008;Rio;4;2
2009;Rio;4;1
2010;Rio;4;10
2011;Rio;4;12
2012;Rio;4;12
2013;Rio;4;9
2014;Rio;4;25
2015;Rio;4;24
2016;Rio;4;45
2017;Rio;4;12
1998;Rio;5;0
1999;Rio;5;7
2000;Rio;5;5
2001;Rio;5;4
2002;Rio;5;4
2003;Rio;5;1
2004;Rio;5;0
2005;Rio;5;11
2006;Rio;5;4
2007;Rio;5;2
2008;Rio;5;0
2009;Rio;5;37
2010;Rio;5;6
2011;Rio;5;17
2012;Rio;5;18
2013;Rio;5;16
2014;Rio;5;20
2015;Rio;5;21
2016;Rio;5;30
2017;Rio;5;15
1998;Rio;6;3
1999;Rio;6;8
2000;Rio;6;14
2001;Rio;6;13
2002;Rio;6;13
2003;Rio;6;13
2004;Rio;6;19
2005;Rio;6;16
2006;Rio;6;19
2007;Rio;6;3
2008;Rio;6;4
2009;Rio;6;33
2010;Rio;6;7
2011;Rio;6;33
2012;Rio;6;14
2013;Rio;6;17
2014;Rio;6;54
2015;Rio;6;33
2016;Rio;6;37
2017;Rio;6;68
1998;Rio;7;21
1999;Rio;7;14
2000;Rio;7;22
2001;Rio;7;57
2002;Rio;7;17
2003;Rio;7;42
2004;Rio;7;23
2005;Rio;7;20
2006;Rio;7;54
2007;Rio;7;15
2008;Rio;7;14
2009;Rio;7;56
2010;Rio;7;55
2011;Rio;7;121
2012;Rio;7;50
2013;Rio;7;58
2014;Rio;7;62
2015;Rio;7;74
2016;Rio;7;131
2017;Rio;7;70
1998;Rio;8;21
1999;Rio;8;88
2000;Rio;8;34
2001;Rio;8;129
2002;Rio;8;184
2003;Rio;8;191
2004;Rio;8;74
2005;Rio;8;98
2006;Rio;8;79
2007;Rio;8;189
2008;Rio;8;19
2009;Rio;8;91
2010;Rio;8;316
2011;Rio;8;250
2012;Rio;8;72
2013;Rio;8;74
2014;Rio;8;199
2015;Rio;8;158
2016;Rio;8;241
2017;Rio;8;164
1998;Rio;9;44
1999;Rio;9;192
2000;Rio;9;16
2001;Rio;9;60
2002;Rio;9;45
2003;Rio;9;166
2004;Rio;9;205
2005;Rio;9;46
2006;Rio;9;197
2007;Rio;9;223
2008;Rio;9;132
2009;Rio;9;90
2010;Rio;9;353
2011;Rio;9;510
2012;Rio;9;172
2013;Rio;9;117
2014;Rio;9;318
2015;Rio;9;85
2016;Rio;9;195
2017;Rio;9;728
1998;Rio;10;6
1999;Rio;10;30
2000;Rio;10;25
2001;Rio;10;33
2002;Rio;10;313
2003;Rio;10;81
2004;Rio;10;26
2005;Rio;10;116
2006;Rio;10;12
2007;Rio;10;137
2008;Rio;10;42
2009;Rio;10;18
2010;Rio;10;35
2011;Rio;10;114
2012;Rio;10;163
2013;Rio;10;44
2014;Rio;10;500
2015;Rio;10;96
2016;Rio;10;30
2017;Rio;10;238
1998;Rio;11;6
1999;Rio;11;16
2000;Rio;11;2
2001;Rio;11;4
2002;Rio;11;11
2003;Rio;11;5
2004;Rio;11;49
2005;Rio;11;12
2006;Rio;11;1
2007;Rio;11;1
2008;Rio;11;0
2009;Rio;11;27
2010;Rio;11;23
2011;Rio;11;20
2012;Rio;11;13
2013;Rio;11;28
2014;Rio;11;36
2015;Rio;11;6
2016;Rio;11;19
2017;Rio;11;43
1998;Rio;12;1
1999;Rio;12;0
2000;Rio;12;0
2001;Rio;12;2
2002;Rio;12;8
2003;Rio;12;10
2004;Rio;12;9
2005;Rio;12;2
2006;Rio;12;0
2007;Rio;12;0
2008;Rio;12;6
2009;Rio;12;1
2010;Rio;12;10
2011;Rio;12;3
2012;Rio;12;18
2013;Rio;12;12
2014;Rio;12;25
2015;Rio;12;11
2016;Rio;12;5
1998;Rio;1;0
1999;Rio;1;32
2000;Rio;1;1
2001;Rio;1;2
2002;Rio;1;4
2003;Rio;1;113
2004;Rio;1;44
2005;Rio;1;153
2006;Rio;1;93
2007;Rio;1;63
2008;Rio;1;70
2009;Rio;1;110
2010;Rio;1;32
2011;Rio;1;15
2012;Rio;1;72
2013;Rio;1;25
2014;Rio;1;34
2015;Rio;1;45
2016;Rio;1;15
2017;Rio;1;28
1998;Rio;2;0
1999;Rio;2;11
2000;Rio;2;7
2001;Rio;2;0
2002;Rio;2;18
2003;Rio;2;9
2004;Rio;2;5
2005;Rio;2;42
2006;Rio;2;21
2007;Rio;2;9
2008;Rio;2;25
2009;Rio;2;8
2010;Rio;2;12
2011;Rio;2;5
2012;Rio;2;13
2013;Rio;2;24
2014;Rio;2;8
2015;Rio;2;15
2016;Rio;2;2
2017;Rio;2;10
1998;Rio;3;0
1999;Rio;3;9
2000;Rio;3;11
2001;Rio;3;0
2002;Rio;3;3
2003;Rio;3;1
2004;Rio;3;1
2005;Rio;3;15
2006;Rio;3;8
2007;Rio;3;7
2008;Rio;3;3
2009;Rio;3;2
2010;Rio;3;23
2011;Rio;3;3
2012;Rio;3;2
2013;Rio;3;6
2014;Rio;3;6
2015;Rio;3;3
2016;Rio;3;1
2017;Rio;3;3
1998;Rio;4;0
1999;Rio;4;21
2000;Rio;4;16
2001;Rio;4;10
2002;Rio;4;0
2003;Rio;4;2
2004;Rio;4;3
2005;Rio;4;2
2006;Rio;4;2
2007;Rio;4;1
2008;Rio;4;0
2009;Rio;4;1
2010;Rio;4;7
2011;Rio;4;0
2012;Rio;4;4
2013;Rio;4;7
2014;Rio;4;2
2015;Rio;4;4
2016;Rio;4;0
2017;Rio;4;6
1998;Rio;5;0
1999;Rio;5;1
2000;Rio;5;3
2001;Rio;5;56
2002;Rio;5;6
2003;Rio;5;0
2004;Rio;5;2
2005;Rio;5;3
2006;Rio;5;0
2007;Rio;5;2
2008;Rio;5;0
2009;Rio;5;0
2010;Rio;5;3
2011;Rio;5;0
2012;Rio;5;14
2013;Rio;5;2
2014;Rio;5;2
2015;Rio;5;4
2016;Rio;5;1
2017;Rio;5;2
1998;Rio;6;1
1999;Rio;6;4
2000;Rio;6;8
2001;Rio;6;13
2002;Rio;6;1
2003;Rio;6;1
2004;Rio;6;2
2005;Rio;6;0
2006;Rio;6;0
2007;Rio;6;0
2008;Rio;6;0
2009;Rio;6;0
2010;Rio;6;1
2011;Rio;6;1
2012;Rio;6;5
2013;Rio;6;1
2014;Rio;6;2
2015;Rio;6;5
2016;Rio;6;4
2017;Rio;6;3
1998;Rio;7;5
1999;Rio;7;7
2000;Rio;7;5
2001;Rio;7;25
2002;Rio;7;7
2003;Rio;7;7
2004;Rio;7;5
2005;Rio;7;2
2006;Rio;7;0
2007;Rio;7;7
2008;Rio;7;0
2009;Rio;7;0
2010;Rio;7;7
2011;Rio;7;0
2012;Rio;7;3
2013;Rio;7;0
2014;Rio;7;2
2015;Rio;7;3
2016;Rio;7;13
2017;Rio;7;4
1998;Rio;8;4
1999;Rio;8;40
2000;Rio;8;29
2001;Rio;8;55
2002;Rio;8;48
2003;Rio;8;97
2004;Rio;8;15
2005;Rio;8;9
2006;Rio;8;13
2007;Rio;8;26
2008;Rio;8;2
2009;Rio;8;1
2010;Rio;8;24
2011;Rio;8;10
2012;Rio;8;23
2013;Rio;8;2
2014;Rio;8;21
2015;Rio;8;16
2016;Rio;8;24
2017;Rio;8;21
1998;Rio;9;51
1999;Rio;9;35
2000;Rio;9;17
2001;Rio;9;45
2002;Rio;9;52
2003;Rio;9;112
2004;Rio;9;47
2005;Rio;9;37
2006;Rio;9;50
2007;Rio;9;50
2008;Rio;9;17
2009;Rio;9;29
2010;Rio;9;50
2011;Rio;9;22
2012;Rio;9;41
2013;Rio;9;7
2014;Rio;9;30
2015;Rio;9;36
2016;Rio;9;44
2017;Rio;9;48
1998;Rio;10;55
1999;Rio;10;40
2000;Rio;10;28
2001;Rio;10;34
2002;Rio;10;140
2003;Rio;10;276
2004;Rio;10;89
2005;Rio;10;168
2006;Rio;10;85
2007;Rio;10;88
2008;Rio;10;53
2009;Rio;10;84
2010;Rio;10;111
2011;Rio;10;76
2012;Rio;10;74
2013;Rio;10;71
2014;Rio;10;75
2015;Rio;10;129
2016;Rio;10;129
2017;Rio;10;85
1998;Rio;11;41
1999;Rio;11;62
2000;Rio;11;9
2001;Rio;11;41
2002;Rio;11;178
2003;Rio;11;366
2004;Rio;11;164
2005;Rio;11;249
2006;Rio;11;148
2007;Rio;11;130
2008;Rio;11;82
2009;Rio;11;172
2010;Rio;11;212
2011;Rio;11;144
2012;Rio;11;69
2013;Rio;11;77
2014;Rio;11;124
2015;Rio;11;105
2016;Rio;11;93
2017;Rio;11;89
1998;Rio;12;19
1999;Rio;12;29
2000;Rio;12;11
2001;Rio;12;20
2002;Rio;12;222
2003;Rio;12;278
2004;Rio;12;284
2005;Rio;12;149
2006;Rio;12;101
2007;Rio;12;80
2008;Rio;12;126
2009;Rio;12;221
2010;Rio;12;54
2011;Rio;12;125
2012;Rio;12;75
2013;Rio;12;46
2014;Rio;12;47
2015;Rio;12;74
2016;Rio;12;75
1998;Rio;1;0
1999;Rio;1;63
2000;Rio;1;126
2001;Rio;1;12
2002;Rio;1;265
2003;Rio;1;58
2004;Rio;1;70
2005;Rio;1;152
2006;Rio;1;46
2007;Rio;1;37
2008;Rio;1;42
2009;Rio;1;65
2010;Rio;1;22
2011;Rio;1;33
2012;Rio;1;61
2013;Rio;1;22
2014;Rio;1;53
2015;Rio;1;51
2016;Rio;1;68
2017;Rio;1;28
1998;Rio;2;0
1999;Rio;2;35
2000;Rio;2;43
2001;Rio;2;32
2002;Rio;2;38
2003;Rio;2;13
2004;Rio;2;52
2005;Rio;2;36
2006;Rio;2;34
2007;Rio;2;24
2008;Rio;2;30
2009;Rio;2;15
2010;Rio;2;23
2011;Rio;2;26
2012;Rio;2;39
2013;Rio;2;43
2014;Rio;2;37
2015;Rio;2;41
2016;Rio;2;55
2017;Rio;2;31
1998;Rio;3;0
1999;Rio;3;38
2000;Rio;3;51
2001;Rio;3;11
2002;Rio;3;26
2003;Rio;3;27
2004;Rio;3;149
2005;Rio;3;153
2006;Rio;3;76
2007;Rio;3;8
2008;Rio;3;38
2009;Rio;3;41
2010;Rio;3;21
2011;Rio;3;31
2012;Rio;3;50
2013;Rio;3;44
2014;Rio;3;58
2015;Rio;3;108
2016;Rio;3;30
2017;Rio;3;34
1998;Rio;4;0
1999;Rio;4;12
2000;Rio;4;1
2001;Rio;4;3
2002;Rio;4;6
2003;Rio;4;30
2004;Rio;4;98
2005;Rio;4;14
2006;Rio;4;59
2007;Rio;4;4
2008;Rio;4;110
2009;Rio;4;145
2010;Rio;4;72
2011;Rio;4;41
2012;Rio;4;41
2013;Rio;4;47
2014;Rio;4;60
2015;Rio;4;175
2016;Rio;4;32
2017;Rio;4;51
1998;Rio;5;0
1999;Rio;5;13
2000;Rio;5;4
2001;Rio;5;4
2002;Rio;5;7
2003;Rio;5;18
2004;Rio;5;4
2005;Rio;5;24
2006;Rio;5;24
2007;Rio;5;3
2008;Rio;5;20
2009;Rio;5;177
2010;Rio;5;9
2011;Rio;5;20
2012;Rio;5;112
2013;Rio;5;14
2014;Rio;5;63
2015;Rio;5;169
2016;Rio;5;37
2017;Rio;5;43
1998;Rio;6;0
1999;Rio;6;9
2000;Rio;6;0
2001;Rio;6;1
2002;Rio;6;4
2003;Rio;6;14
2004;Rio;6;52
2005;Rio;6;50
2006;Rio;6;7
2007;Rio;6;10
2008;Rio;6;16
2009;Rio;6;30
2010;Rio;6;4
2011;Rio;6;12
2012;Rio;6;86
2013;Rio;6;10
2014;Rio;6;62
2015;Rio;6;68
2016;Rio;6;261
2017;Rio;6;103
1998;Rio;7;0
1999;Rio;7;10
2000;Rio;7;6
2001;Rio;7;6
2002;Rio;7;93
2003;Rio;7;55
2004;Rio;7;156
2005;Rio;7;47
2006;Rio;7;45
2007;Rio;7;7
2008;Rio;7;25
2009;Rio;7;47
2010;Rio;7;34
2011;Rio;7;45
2012;Rio;7;134
2013;Rio;7;42
2014;Rio;7;209
2015;Rio;7;60
2016;Rio;7;865
2017;Rio;7;885
1998;Rio;8;9
1999;Rio;8;24
2000;Rio;8;18
2001;Rio;8;36
2002;Rio;8;824
2003;Rio;8;1.419
2004;Rio;8;403
2005;Rio;8;120
2006;Rio;8;642
2007;Rio;8;258
2008;Rio;8;56
2009;Rio;8;1.057
2010;Rio;8;267
2011;Rio;8;116
2012;Rio;8;410
2013;Rio;8;156
2014;Rio;8;1.168
2015;Rio;8;414
2016;Rio;8;1.111
2017;Rio;8;819
1998;Rio;9;60
1999;Rio;9;19
2000;Rio;9;27
2001;Rio;9;2
2002;Rio;9;226
2003;Rio;9;828
2004;Rio;9;431
2005;Rio;9;189
2006;Rio;9;444
2007;Rio;9;573
2008;Rio;9;97
2009;Rio;9;39
2010;Rio;9;250
2011;Rio;9;449
2012;Rio;9;113
2013;Rio;9;290
2014;Rio;9;224
2015;Rio;9;222
2016;Rio;9;628
2017;Rio;9;343
1998;Rio;10;169
1999;Rio;10;56
2000;Rio;10;10
2001;Rio;10;13
2002;Rio;10;10
2003;Rio;10;360
2004;Rio;10;680
2005;Rio;10;83
2006;Rio;10;160
2007;Rio;10;21
2008;Rio;10;135
2009;Rio;10;148
2010;Rio;10;95
2011;Rio;10;74
2012;Rio;10;91
2013;Rio;10;104
2014;Rio;10;110
2015;Rio;10;70
2016;Rio;10;93
2017;Rio;10;101
1998;Rio;11;28
1999;Rio;11;103
2000;Rio;11;18
2001;Rio;11;49
2002;Rio;11;117
2003;Rio;11;121
2004;Rio;11;161
2005;Rio;11;227
2006;Rio;11;27
2007;Rio;11;13
2008;Rio;11;14
2009;Rio;11;4
2010;Rio;11;90
2011;Rio;11;117
2012;Rio;11;74
2013;Rio;11;110
2014;Rio;11;68
2015;Rio;11;30
2016;Rio;11;105
2017;Rio;11;137
1998;Rio;12;605
1999;Rio;12;1.11
2000;Rio;12;80
2001;Rio;12;80
2002;Rio;12;45
2003;Rio;12;98
2004;Rio;12;99
2005;Rio;12;35
2006;Rio;12;15
2007;Rio;12;25
2008;Rio;12;32
2009;Rio;12;15
2010;Rio;12;103
2011;Rio;12;69
2012;Rio;12;38
2013;Rio;12;62
2014;Rio;12;31
2015;Rio;12;42
2016;Rio;12;79
1998;Rondonia;1;0
1999;Rondonia;1;1
2000;Rondonia;1;0
2001;Rondonia;1;0
2002;Rondonia;1;6
2003;Rondonia;1;62
2004;Rondonia;1;30
2005;Rondonia;1;99
2006;Rondonia;1;16
2007;Rondonia;1;33
2008;Rondonia;1;4
2009;Rondonia;1;17
2010;Rondonia;1;18
2011;Rondonia;1;1
2012;Rondonia;1;2
2013;Rondonia;1;7
2014;Rondonia;1;12
2015;Rondonia;1;30
2016;Rondonia;1;93
2017;Rondonia;1;44
1998;Rondonia;2;0
1999;Rondonia;2;1
2000;Rondonia;2;6
2001;Rondonia;2;2
2002;Rondonia;2;8
2003;Rondonia;2;10
2004;Rondonia;2;12
2005;Rondonia;2;42
2006;Rondonia;2;17
2007;Rondonia;2;8
2008;Rondonia;2;7
2009;Rondonia;2;1
2010;Rondonia;2;9
2011;Rondonia;2;2
2012;Rondonia;2;9
2013;Rondonia;2;8
2014;Rondonia;2;5
2015;Rondonia;2;22
2016;Rondonia;2;88
2017;Rondonia;2;10
1998;Rondonia;3;0
1999;Rondonia;3;8
2000;Rondonia;3;9
2001;Rondonia;3;0
2002;Rondonia;3;1
2003;Rondonia;3;13
2004;Rondonia;3;20
2005;Rondonia;3;17
2006;Rondonia;3;15
2007;Rondonia;3;20
2008;Rondonia;3;2
2009;Rondonia;3;12
2010;Rondonia;3;11
2011;Rondonia;3;6
2012;Rondonia;3;6
2013;Rondonia;3;23
2014;Rondonia;3;13
2015;Rondonia;3;15
2016;Rondonia;3;25
2017;Rondonia;3;21
1998;Rondonia;4;0
1999;Rondonia;4;3
2000;Rondonia;4;0
2001;Rondonia;4;0
2002;Rondonia;4;3
2003;Rondonia;4;10
2004;Rondonia;4;14
2005;Rondonia;4;7
2006;Rondonia;4;0
2007;Rondonia;4;0
2008;Rondonia;4;8
2009;Rondonia;4;3
2010;Rondonia;4;19
2011;Rondonia;4;8
2012;Rondonia;4;12
2013;Rondonia;4;9
2014;Rondonia;4;15
2015;Rondonia;4;15
2016;Rondonia;4;59
2017;Rondonia;4;19
1998;Rondonia;5;0
1999;Rondonia;5;3
2000;Rondonia;5;13
2001;Rondonia;5;5
2002;Rondonia;5;10
2003;Rondonia;5;21
2004;Rondonia;5;9
2005;Rondonia;5;38
2006;Rondonia;5;7
2007;Rondonia;5;4
2008;Rondonia;5;1
2009;Rondonia;5;6
2010;Rondonia;5;41
2011;Rondonia;5;54
2012;Rondonia;5;22
2013;Rondonia;5;9
2014;Rondonia;5;28
2015;Rondonia;5;13
2016;Rondonia;5;44
2017;Rondonia;5;31
1998;Rondonia;6;26
1999;Rondonia;6;10
2000;Rondonia;6;54
2001;Rondonia;6;31
2002;Rondonia;6;141
2003;Rondonia;6;74
2004;Rondonia;6;151
2005;Rondonia;6;153
2006;Rondonia;6;40
2007;Rondonia;6;71
2008;Rondonia;6;11
2009;Rondonia;6;13
2010;Rondonia;6;44
2011;Rondonia;6;130
2012;Rondonia;6;32
2013;Rondonia;6;22
2014;Rondonia;6;92
2015;Rondonia;6;119
2016;Rondonia;6;170
2017;Rondonia;6;192
1998;Rondonia;7;365
1999;Rondonia;7;135
2000;Rondonia;7;117
2001;Rondonia;7;74
2002;Rondonia;7;539
2003;Rondonia;7;516
2004;Rondonia;7;1.233
2005;Rondonia;7;798
2006;Rondonia;7;314
2007;Rondonia;7;187
2008;Rondonia;7;138
2009;Rondonia;7;110
2010;Rondonia;7;747
2011;Rondonia;7;293
2012;Rondonia;7;205
2013;Rondonia;7;117
2014;Rondonia;7;192
2015;Rondonia;7;423
2016;Rondonia;7;969
2017;Rondonia;7;1.28
1998;Rondonia;8;2.254
1999;Rondonia;8;1.976
2000;Rondonia;8;2.197
2001;Rondonia;8;2.132
2002;Rondonia;8;3.465
2003;Rondonia;8;7.06
2004;Rondonia;8;6.893
2005;Rondonia;8;6.672
2006;Rondonia;8;3.124
2007;Rondonia;8;4.786
2008;Rondonia;8;1.251
2009;Rondonia;8;484
2010;Rondonia;8;4.388
2011;Rondonia;8;1.161
2012;Rondonia;8;2.209
2013;Rondonia;8;885
2014;Rondonia;8;3.038
2015;Rondonia;8;3.762
2016;Rondonia;8;3.675
2017;Rondonia;8;4.287
1998;Rondonia;9;3.753
1999;Rondonia;9;3.062
2000;Rondonia;9;2.438
2001;Rondonia;9;1.927
2002;Rondonia;9;7.067
2003;Rondonia;9;6.89
2004;Rondonia;9;13.05
2005;Rondonia;9;13.972
2006;Rondonia;9;9.92
2007;Rondonia;9;6.832
2008;Rondonia;9;3.726
2009;Rondonia;9;1.869
2010;Rondonia;9;4.893
2011;Rondonia;9;1.782
2012;Rondonia;9;2.471
2013;Rondonia;9;1.776
2014;Rondonia;9;2.8
2015;Rondonia;9;6.129
2016;Rondonia;9;4.208
2017;Rondonia;9;5.638
1998;Rondonia;10;483
1999;Rondonia;10;1.884
2000;Rondonia;10;644
2001;Rondonia;10;796
2002;Rondonia;10;3.554
2003;Rondonia;10;4.962
2004;Rondonia;10;3.094
2005;Rondonia;10;2.559
2006;Rondonia;10;1.148
2007;Rondonia;10;2.023
2008;Rondonia;10;1.482
2009;Rondonia;10;1.444
2010;Rondonia;10;1.307
2011;Rondonia;10;822
2012;Rondonia;10;1.229
2013;Rondonia;10;555
2014;Rondonia;10;1.063
2015;Rondonia;10;2.598
2016;Rondonia;10;1.844
2017;Rondonia;10;2.19
1998;Rondonia;11;3
1999;Rondonia;11;41
2000;Rondonia;11;13
2001;Rondonia;11;91
2002;Rondonia;11;639
2003;Rondonia;11;526
2004;Rondonia;11;452
2005;Rondonia;11;465
2006;Rondonia;11;253
2007;Rondonia;11;53
2008;Rondonia;11;78
2009;Rondonia;11;128
2010;Rondonia;11;238
2011;Rondonia;11;245
2012;Rondonia;11;174
2013;Rondonia;11;108
2014;Rondonia;11;202
2015;Rondonia;11;1.002
2016;Rondonia;11;401
2017;Rondonia;11;372
1998;Rondonia;12;33
1999;Rondonia;12;0
2000;Rondonia;12;7
2001;Rondonia;12;1
